INFO probing 20 lesions
INFO lesion probes | bus shards=[0] | 209 samples (0 done)
INFO   [187/209] 1674  20/20  | ETA 0.10h
INFO   [188/209] 1683  20/20  | ETA 0.09h
INFO   [189/209] 1692  20/20  | ETA 0.09h
INFO   [190/209] 1701  20/20  | ETA 0.08h
INFO   [191/209] 1710  20/20  | ETA 0.08h
INFO   [192/209] 1719  20/20  | ETA 0.08h
INFO   [193/209] 1728  20/20  | ETA 0.07h
INFO   [194/209] 1737  20/20  | ETA 0.07h
INFO   [195/209] 1746  20/20  | ETA 0.06h
INFO   [196/209] 1755  20/20  | ETA 0.06h
INFO   [197/209] 1764  20/20  | ETA 0.05h
INFO   [198/209] 1773  20/20  | ETA 0.05h
INFO   [199/209] 1782  20/20  | ETA 0.04h
INFO   [200/209] 1791  20/20  | ETA 0.04h
INFO   [201/209] 1800  20/20  | ETA 0.04h
INFO   [202/209] 1809  20/20  | ETA 0.03h
INFO   [203/209] 1818  20/20  | ETA 0.03h
INFO   [204/209] 1827  20/20  | ETA 0.02h
INFO   [205/209] 1836  20/20  | ETA 0.02h
INFO   [206/209] 1845  20/20  | ETA 0.01h
INFO   [207/209] 1854  20/20  | ETA 0.01h
INFO   [208/209] 1863  20/20  | ETA 0.00h
INFO   [209/209] 1872  20/20  | ETA 0.00h
INFO Done in 55.4 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/18_lesion/results/leslbus_bus_0.jsonl
